Region,County
Coast,Mombasa
Coast,Kwale
Coast,Kilifi
Coast,Tana River
Coast,Lamu
Coast,Taita-Taveta
North Eastern,Garissa
North Eastern,Wajir
North Eastern,Mandera
Eastern,Marsabit
Eastern,Isiolo
Eastern,Meru
Eastern,Tharaka-Nithi
Eastern,Embu
Eastern,Kitui
Eastern,Machakos
Eastern,Makueni
Central,Nyandarua
Central,Nyeri
Central,Kirinyaga
Central,Murang'a
Central,Kiambu
Rift Valley,Turkana
Rift Valley,West Pokot
Rift Valley,Samburu
Rift Valley,Trans-Nzoia
Rift Valley,Uasin Gishu
Rift Valley,Elgeyo-Marakwet
Rift Valley,Nandi
Rift Valley,Baringo
Rift Valley,Laikipia
Rift Valley,Nakuru
Rift Valley,Narok
Rift Valley,Kajiado
Rift Valley,Kericho
Rift Valley,Bomet
Western,Kakamega
Western,Vihiga
Western,Bungoma
Western,Busia
Nyanza,Siaya
Nyanza,Kisumu
Nyanza,Homa Bay
Nyanza,Migori
Nyanza,Kisii
Nyanza,Nyamira
Nairobi,Nairobi
